label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
1,2.0,0.0,1.0,1.0,1.5957691216057308,5.5,10.0,0.5821216106414795,0.5821216106414795,0.5821216
2,256.0,90.38477631085024,0.9682611545821428,0.8707482993197279,18.0540666735282,3.375,23.8203125,0.4620528817176819,0.7814589738845825,0.57774436
3,10.0,8.82842712474619,0.6831300510639732,1.0,3.5682482323055424,408.2,21.5,0.6107736825942993,0.6107736825942993,0.6107737
4,4.0,2.0,1.0,1.0,2.256758334191025,6.5,32.0,0.5851892828941345,0.6320633292198181,0.6112952
5,40.0,21.899494936611664,0.8231248370555013,0.9523809523809523,7.136496464611085,19.3,36.225,0.6329836249351501,0.6353150606155396,0.634022
6,22.0,15.65685424949238,0.8394250524174952,0.8148148148148148,5.292567428401227,61.86363636363637,36.22727272727273,0.6140867471694946,0.6210810542106628,0.6161365
7,59.0,32.48528137423857,0.899771341543169,0.8309859154929577,8.667244841319219,5.88135593220339,44.728813559322035,0.5099085569381714,0.6385054588317871,0.55760413
8,12.0,9.65685424949238,0.0,1.0,3.9088200952233594,57.5,45.5,0.6100987792015076,0.6113258600234985,0.6107276
9,987.0,167.2903679018718,0.8877345295784143,0.8329113924050633,35.449787455690135,405.67477203647417,50.09929078014184,0.2386035919189453,0.6453156471252441,0.4553531
10,3694.0,282.1787155501902,0.5882556827553839,0.9148093115403665,68.58095127841032,132.33974011911207,62.8714131023281,0.029204245656728745,0.6440272331237793,0.39845106
11,34.0,18.485281374238568,0.5082559240684967,1.0,6.579524642479541,20.0,67.73529411764706,0.6021841764450073,0.6380759477615356,0.6277813
12,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,362.5,68.0,0.5791152715682983,0.6343333721160889,0.61978877
13,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,378.0,69.5,0.6065402626991272,0.6103441715240479,0.60843456
14,11.0,10.242640687119286,0.8105877693297839,0.7857142857142857,3.742410318509555,282.45454545454544,92.36363636363636,0.6148229837417603,0.6384440660476685,0.6236468
